Movie,Year,Director
Imitiation Game,2014,Morten Tydlum
Schindlers List,1993,Steven Spielberg
Beautiful Mind,2001,Ron Howard
12 Angry Men,1957,Sidney Lumet
V for Vendetta,2005,James Mcteigue
Starwars - Episode IX,2019,JJ Abrams
Usual Suspects,1995,Bryan Singer
The Prestige,2006,Chris Nolan
The Departed,2006,Martin Scorsese
Django Unchained,2012,Quinten Tarantino
Lincoln,2012,Steven Spielberg
Amistad,1997,Steven Spielberg
Blade Runner,1982,Ridley Scott
Goodfellas,1990,Martin Scorsese
Gangs of New York,2002,Martin Scorsese
Love Aaj Kal,2009,Imtiaz Ali
Zindagi Na Milegi Dobara,2011,Zoya Akthar
